name,type,producers,expect,played,tags
实况足球2017,体育游戏,Konami,452,185, 3D 足球 体育
铁拳7,格斗游戏,Namco Bandai,359,278, 街机 格斗 竞技 剧情丰富 3D 日本动画 困难
暗黑破坏神2,动作角色扮演,Blizzard North/Blizzard,370,263, 低配置 奇幻
废品机械师,角色扮演,Axolot Games,494,137, 沙盒 末世 生存 工艺 竞速 多人 合作
战锤：全面战争2,策略游戏,Creative Assembly/SEGA,405,226, 大型战场 策略 剧情丰富 回合制 即时战略 战术 魔幻
ICEY,动作游戏,幻刃网络/心动网络,447,183, 2D 科幻 国产 赛博朋克 横向卷轴 日本动画 砍杀
奇异人生,冒险游戏,Dontnod Entertainment/Square Enix,343,284, 奇幻 女主人公 单人剧情 互动电影 美少女 分章节
以撒的结合：胎衣,动作角色扮演,"Nicalis, Inc.、Edmund McMillen/Nicalis, Inc.",510,116, 奇幻 局域网联机
星际争霸2,即时战略,暴雪,390,234, 电子竞技 未来战争 科幻
我的世界：故事模式2,角色扮演,Telltale Games,556,64, 2.5D 动作冒险 剧情丰富 剧集 低配置 画素风格 悬疑惊悚
毁灭战士4,第一人称射击,id Software/Bethesda,300,315, 科幻 恐怖 VR 动作 射击 网络爆红 合作
GTA4：自由城故事,动作游戏,Rockstar Games,449,162, 沙盒 单人 冒险 氛围 第三人称视角 剧情丰富 好评原声音乐
乐高世界,冒险游戏,TT Games、Traveller's Tales/Warner Bros,478,132, 沙盒 Q版
流放之路,动作角色扮演,Grinding Gear Games/腾讯,91,517, 奇幻
进击的巨人2,动作游戏,ω-Force/Koei,509,96, 3D 动漫 改编 末世
疯狂的麦克斯,动作游戏,"Avalanche Studios,Feral Interactive (Mac),Feral Interactive (Linux)/Warner Bros. Interactive Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",401,198, 生存 战争 竞速 单人 末日 开放世界 角色扮演
木筏生存,冒险游戏,Redbeet Interactive/Axolot Games,516,81, 独立游戏 沙盒
方舟：适者生存,动作角色扮演,Studio Wildcard,507,89, 生存 工艺 玩家对战 第一人称射击 Early Access 开放世界 独立游戏
Dota2,动作游戏,Valve,115,475, 竞技 玩家对战 动作 自创角色 奇幻 困难 团队导向
荒野大镖客：救赎,第三人称射击,Rockstar,465,121, 西部风格
流放者柯南,动作角色扮演,Funcom,319,263, 生存 3D 沙盒 开放世界 角色扮演 探索 合作
羞辱,动作游戏,Arkane Studios/Bethesda,309,266, 奇幻 沙盒 氛围 单人 蒸汽朋克 动作 角色扮演
我的世界：故事模式,角色扮演,Telltale Games,449,124, 低配置 2.5D 剧情丰富 搞笑 工艺 剧集 选择取向
死或生：沙滩排球3,体育游戏,Team Ninja/Koei Tecmo,504,67, 3D VR
战地：叛逆连队2,第一人称射击,EA DICE/Electronic Arts,442,129, 现代战争 电子竞技 局域网联机
帝国时代：终极版,即时战略,Ensemble Studios/微软,504,49, 电子竞技 局域网联机 即时战略 城市营造 合作 竞技 建筑建造
侠客风云传前传,角色扮演,河洛工作室,158,393, 国产 剑侠 武术 角色扮演 策略 冒险
生化危机5,动作游戏,CAPCOM,367,183, 科幻 丧尸 恐怖
异形大战铁血战士,第一人称射击,Rebellion/SEGA,444,105, 科幻 狩猎 潜行 动作 外星人 生存 改编
罗马2：全面战争,策略游戏,The Creative Assembly/SEGA,413,134, 大型战场 策略 即时战略 历史题材 战术 回合制 剧情丰富
全面吃鸡模拟器,模拟游戏,Landfall,431,112, 独立游戏 搞笑 第一人称射击 多人 改编 射击 开放世界
猎人：野性的呼唤,第一人称射击,Avalanche Studios,395,145, 沙盒 单人 开放世界 多人 合作 步行模拟 第一人称射击
城市：天际线,模拟游戏,Colossal Order Ltd./Paradox Interactive,334,206, 单人 城市营造 休闲 模拟 即时含暂停 资源管理 建造
三国志12,策略游戏,KOEI TECMO /Koei Tecmo,465,73, 三国 策略
VR女友,模拟游戏,Illusion,433,100, 美少女 3D VR
战神3重制版,动作游戏,索尼圣莫妮卡/Sony Computer Entertainment,224,308, 奇幻
灵魂筹码,角色扮演,重明工作室,472,59, 恐怖 国产 生存恐怖 动作 独立 EarlyAccess 角色扮演
极速骑行2,竞速游戏,Milestone S.r.l.,480,50, 动作 竞速 3D 体育 多人 铁马 模拟
星际战甲,第三人称射击,Digital Extremes/Digital Extremes、畅游,174,355, 未来战争 科幻 在线合作 免费 动作 太空 射击
奇异人生：暴风前夕,冒险游戏,Dontnod Entertainment/Square Enix,371,156, 互动电影 奇幻 分章节 美少女 单人 女主人翁 第三人称视角
光环5：守护者,第一人称射击,343工作室/微软,421,107, 科幻
海贼王：无尽世界R,动作游戏,NBGI,448,78, 改编
FIFA 19,体育游戏,EA Sports/EA,391,133, 体育 足球
模拟城市5,模拟游戏,Maxis/Electronic Arts,410,110,
传说之下,角色扮演,tobyfox,359,159, 独立游戏 像素 好评原声音乐 独立 画素风格 单人 可爱
不是GTA5,益智游戏,Not Games LLP,407,108, 独立游戏
巧克力与香子兰3,恋爱养成,NEKO WORKs /Sekai Project,367,140, 横版卷轴 氛围 冒险 美少女 恋爱模拟 剧情丰富 休闲
四海兄弟3,动作游戏,Hangar 13/2K Games,270,236, 潜行 经典 射击 犯罪 单人 沙盒 第三人称视角
骑马与砍杀：火与剑,动作角色扮演,TaleWorlds Entertainment,411,95, 中世纪 局域网联机 动作角色扮演 模拟 沙盒 策略 动作
真三国无双4,动作游戏,ω-Force/KOEI,399,106, 三国
泰坦陨落,第一人称射击,Respawn/EA,435,69, 未来战争 科幻
刺客信条：叛变,动作游戏,育碧Sofia,315,187, 跑酷 历史 动作冒险 动作 快速反应事件 氛围 冒险
救赎之路,动作角色扮演,Darkstar Games/Another Indie,303,199, 国产 奇幻 3D 角色扮演 单人 冒险 动作
战锤：末世鼠疫2,动作角色扮演,Fatshark,264,234, 共斗 奇幻 动作 氛围 合作 游戏工坊 生存
火炬之光2,动作角色扮演,Runic Games/完美时空,297,198, 奇幻 砍杀 寻宝 迷宫探索 蒸汽朋克 在线合作 等角
逃离塔科夫,第一人称射击,Battlestate,406,84, 现代战争
美国职业摔角联盟2K18,体育游戏,"Visual Concepts,Yuke's Co., LTD/2K Games",412,75, 3D 格斗 体育 模拟 摔角 自创角色 多人
煮糊了,动作游戏,Ghost Town Games Ltd/Team17 Digital Ltd,380,102, 独立游戏 3D 休闲 模拟 单机合作 搞笑 好评原声音乐
拳皇13,格斗游戏,SNK Playmore/Atlus,387,90,
模拟人生4：城市生活,模拟游戏,Maxis、The Sims Studio/EA Games,432,45, 3D
无双大蛇2,动作游戏,Omega Force/KOEI TECMO,388,85,
突袭4,即时战略,Kite Games/Kalypso Media Digital,315,156, 二战 3D 策略 单人 即时 即时战术 坦克
生化危机：启示录2,动作游戏,CAPCOM,271,200, 丧尸 生存恐怖 射击 单人 女主人翁 生存 动作
二之国2：亡灵之国,角色扮演,Level 5/BANDAI NAMCO Entertainment,320,149, 奇幻 冒险 开放世界 角色扮演 单人 好评原声音乐 策略
SOS终极对决,第一人称射击,"Outpost Games/Outpost Games, Inc.",419,48, 大逃杀 3D 射击 生存 Early Access 恐怖 动作
幻想三国志5,角色扮演,宇峻奥汀/凤凰游戏,295,172, 国产 三国 3D
荒岛求生,冒险游戏,Beam Team Games,356,110, 生存 解谜 单人 水底 拟真 独立 策略
NBA 2K15,体育游戏,2K Sports/2K Games,375,89,
钢铁雄心4,策略游戏,Paradox Interactive,248,215, 回合制 二战
黑道圣徒3,动作游戏,Volition Inc/Deep Silver,351,108, 在线合作 女主人翁 开放世界 自创角色 多人 第三人称视角 沙盒
传送门2,第一人称射击,Valve,208,244, 在线合作 合作 多人 单人 科学 搞笑 冒险
极限巅峰,体育游戏,育碧/Ubisoft,347,103, 竞速 好评原声音乐 体育 探索 开放世界 沙盒 动作
最终幻想XIV：红莲之狂潮,角色扮演,史克威尔艾尼克斯/盛大游戏,267,181, 3D 奇幻
暗黑血统2,动作游戏,Vigil Games/THQ,280,168, 奇幻 动作角色扮演 寻宝 唯美格斗 黑暗奇幻 控制器 好评原声音乐
中土世界：暗影魔多,动作游戏,Monolith Studios/Warner Bros,304,140, 中世纪 奇幻 跑酷 冒险 第三人称视角 开放世界 潜行
狙击精英V2,第三人称射击,Rebellion,378,66, 二战 狙击手 局域网联机 子弹时间 合作 战争 冒险
WILL：美好世界,冒险游戏,任意门,358,80, 独立游戏 国产 文字 文字游戏 女主人翁 悬疑 科幻
七日杀,第一人称射击,The Fun Pimps Entertainment/The Fun Pimps Entertainment LLC,342,95, 生存 丧尸 恐怖 单人 科幻 开放世界 工艺
逃生,动作游戏,Red Barrels,294,142, 恐怖 生存 独立游戏
模拟挖掘机,模拟游戏,Cape Copenhagen/rondomedia GmbH,333,102, 模拟
极品飞车9：最高通缉,竞速游戏,Black Box/EA,278,156, 局域网联机
血源：老猎人,动作角色扮演,From Software/索尼,106,324, 恐怖
龙腾世纪：审判,角色扮演,BioWare/Electronic Arts,239,191, 奇幻
黑道圣徒4,动作游戏,Deep Silver Volition/Deep Silver,315,113, 沙盒 科幻 谐仿 搞笑 好评原声音乐 超級英雄 在线合作
模拟农场17,模拟游戏,Giants Software/Focus Home Interactive,325,100, 农业 3D 驾驶 单人 多人 开放世界 动作
丧尸围城2,动作游戏,CAPCOM,374,51, 丧尸 生存 恐怖 单人 第三人称视角 冒险 在线合作
永恒之柱2：死亡之火,角色扮演,Obsidian Entertainment,273,151, 奇幻 电脑角色扮演 等角 好评原声音乐 自创角色 即时含暂停 选择取向
勇敢的心：世界大战,动作游戏,Ubisoft Montpellier/Ubisoft,241,180, 一战 解谜 音乐 横向卷轴 平台 独立 好评原声音乐
反恐精英,第一人称射击,Valve,156,265, 电子竞技 低配置 射击 局域网联机 战术 第一人称射击 现代战争
亿万僵尸,即时战略,Numantian Games,342,75, 丧尸 即时含暂停 建筑建造 Early Access 单人 等角 独立
战争机器4,第三人称射击,The Coalition/微软,286,129, 科幻 生存
战锤：全面战争,策略游戏,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)/SEGA,Feral Interactive (Linux),Feral Interactive (Mac)",241,173, 大型战场 战术 历史题材 剧情丰富 回合制 策略 即时战略
巧克力与香子兰,冒险游戏,NEKO WORKs /Sekai Project,296,116, 解谜
量子破碎,第三人称射击,Remedy/Microsoft Game,194,216, 科幻 单人 动作 子弹时间 控制器 过场动画 剧情丰富
刺客信条：启示录,动作游戏,育碧,220,190, 跑酷 中世纪 潜入暗杀 好评原声音乐 历史 沙盒 潜行
使命召唤OL,第一人称射击,Raven工作室/腾讯游戏,71,338, 电子竞技 现代战争
胡闹厨房2,模拟游戏,"Ghost Town Games Ltd.,Team17 Digital Ltd/Team17 Digital Ltd",320,87, 合作 休闲 多人 动作 独立
南方公园：完整破碎,角色扮演,育碧旧金山工作室/Ubisoft,245,161, 黑色幽默 回合制 漫画改编 卡通 恶搞 搞笑 战棋
模拟人生4：猫与狗,模拟游戏,Maxis/The Sims Studio/EA Games,356,48, 3D
实况足球2019,体育游戏,Konami,303,99, 体育 足球
全面战争：幕府将军2,策略游戏,CreativeAssembly/SEGA,313,88, 大型战场 历史题材 策略 即时战略 战术 剧情丰富 回合制
荒野行动,第一人称射击,网易游戏,253,147, 多人 竞技 国产 大逃杀
火影忍者疾风传：究极忍者风暴,格斗游戏,Cyber Connect2/Namco Bandai,339,60, 忍者 动漫 改编
异星探险家,冒险游戏,System Era Softworks,296,103, 独立游戏 科幻 沙盒 第三人称视角 开放世界 冒险 好评原声音乐
鬼泣HD合集,动作游戏,Capcom,306,92, 奇幻 硬核 砍杀 经典 好评原声音乐 角色动作 唯美格斗
死亡岛,动作游戏,Techland/Deep Silver,314,82, 丧尸 角色扮演 单人 恐怖 在线合作 工艺 女主人翁
行尸走肉：最终季,冒险游戏,Telltale Games,331,65, 单人剧情 丧尸 生存 分章节 互动电影 女主人公 末日
无双大蛇,动作游戏,Omega Force/KOEI,337,58,
乐高漫威超级英雄2,动作游戏,TT Games/Warner Bros. Interactive,345,48, 漫画英雄 科幻 Q版 改编 单机合作 免费 阖家
克苏鲁的呼唤,冒险游戏,Cyanide/Focus Interactive,348,45, 恐怖 改编
乐高侏罗纪世界,动作游戏,TT Games/WB Games,288,103, 乐高 第三人称视角 恐龙 模拟 欢乐 单人 单机合作
暗黑血统：战神之怒,动作游戏,Vigil Games/THQ,251,140, 冒险 奇幻 类银河战士恶魔城 多人 开放世界 砍杀 黑暗奇幻
战场女武神4,角色扮演,SEGA,278,113, 架空世界 奇幻
大神：绝景版,动作游戏,Clover/Capcom,291,99, 奇幻 角色扮演 风格化 剧情丰富 改编 非主流经典 冒险
穿越火线,第一人称射击,Smile Gate、Neowiz/腾讯游戏,73,315, 电子竞技
猎天使魔女2,动作游戏,Platinum Games/Nintendo,230,158, 奇幻
英雄连2,即时战略,Relic/世嘉,300,87, 二战 多人 战术 坦克 历史 动作 好评原声音乐
加速世界VS刀剑神域：千年的黄昏,动作角色扮演,Namco Bandai,319,66, 改编 奇幻 3D
FIFA 17,体育游戏,EA Sports/EA,251,134, 3D 足球 体育
英雄传说：闪之轨迹,角色扮演,Falcom,206,179, 单人 回合制 爱情 剧情丰富 可爱 女主人翁 奇幻
我的英雄学院,动作游戏,Namco Bandai,346,35, 热血 漫改 科幻
乞丐模拟器,模拟游戏,Perun Creative,344,36, 开放世界 独立 冒险 Early Access 模拟 生存 多人
羞辱：界外魔之死,动作游戏,Arkane Studios/Bethesda Softworks,282,96, 潜入暗杀 开放世界 第一人称射击 奇幻 剧情丰富 蒸汽朋克 跑酷
极限竞速：地平线2,竞速游戏,Playground Games、Turn 10/微软,320,51, 赛车 竞速 3D
画中世界,益智游戏,Jason Roberts/未知,235,131, 解谜 奇幻 休闲 冒险 互动小说 卡通化 风格化
植物大战僵尸2：奇妙时空之旅,益智游戏,PopCap Games/EA,296,70, 丧尸 Q版
极品飞车Online,竞速游戏,EA、Spearhead/腾讯游戏,141,224,
战意,策略游戏,网易,247,115, 国产
收获日2,第一人称射击,Overkill Software/505 Games,249,112, 抢劫 第一人称射击 单人 潜行 搞笑 生存 玩家合作
星际争霸：重制版,即时战略,暴雪,288,73, 电子竞技 科幻 未来战争
小梦魇,动作游戏,Tarsier Studios/Namco Bandai,274,87, 单人 冒险 奇幻 恐怖 女主人翁 平台 动作
全面战争模拟器,模拟游戏,Landfall,305,56, 战争 搞笑 单人 沙盒 中世纪 休闲 物理
黑暗之魂2：原罪学者,动作角色扮演,FromSoftware/BANDAI NAMCO、FromSoftware,72,289, 奇幻 Souls-like 冒险 合作 自创角色 动作角色扮演 玩家对战
崩溃大陆,动作游戏,Butterscotch Shenanigans,283,75, 生存 冒险 角色扮演 剧情丰富 多人 开放世界 独立
死或生5：最后一战,格斗游戏,Team Ninja/KOEI TECMO,233,120,
荣誉勋章,第一人称射击,Electronic Arts,273,80, 现代战争 电子竞技 第一人称射击 局域网联机 战争 军事 射击
刀剑神域：虚空断章,动作角色扮演,NBGI,304,48, 改编
巫师之昆特牌,策略游戏,CD Project RED/盖娅互娱,191,160, 奇幻 回合制
火柴人战斗,动作游戏,Landfall West/Landfall,289,59, 独立游戏 奇幻 2D 格斗 4人单机 2D 物理 动作
无限试驾2,竞速游戏,Eden Studios/Atari,290,57,
美国职业摔角联盟2K17,体育游戏,2K Sports/2K Games,282,64, 模拟 摔角 动作 格斗 体育 自创角色 多人
重装机兵XENO,角色扮演,索尼,312,30, 末世 未来战争 科幻
狂战传说,角色扮演,Bandai Namco,98,244, 奇幻 3D 开放世界 女主人翁 角色扮演 动作 可爱
迸发,动作角色扮演,Focus Home Interactive,94,244, 血腥 冒险 开放世界 机甲世界 动作角色扮演 科幻 困难
侠盗猎车手3,动作游戏,Rockstar Games,190,147, 驾驶 沙盒 单人 冒险 第三人称视角 经典 剧情丰富
奇异人生2,冒险游戏,DONTNOD Entertainment/Square Enix,305,31, 奇幻 剧情丰富 选择取向 单人 氛围 好评原声音乐 美少女
旺达与巨像,动作游戏,Team ICO/Sony,219,116, 奇幻 3D
乐高复仇者联盟,动作游戏,"Traveller's Tales,TT Games,Feral Interactive (Mac)/Warner Bros. Interactive Entertainment,Feral Interactive (Mac)",268,67, Q版 改编 单机合作 分屏 单人 漫画 乐高
Cuisine Royale,第一人称射击,Darkflow Software/Gaijin Distribution KFT,267,68, 大逃杀 独立游戏
生化危机：保护伞小队,第三人称射击,Capcom,208,126, 恐怖 竞技 战术 生存 休闲 单人 丧尸
极品飞车16：亡命狂飙,竞速游戏,Black Box/Electronic Arts,270,62, 电子竞技
巫师2：刺客之王,角色扮演,CD Projekt Red/CD Projekt,214,117, 中世纪 奇幻 黑暗 第三人称视角 小说改编 多结局 动作
高考恋爱100天,恋爱养成,高考恋爱委员会/NVLMaker,269,61, 多结局 可爱 独立 休闲 恋爱模拟 视觉小说 日本动画
声名狼藉：私生子,动作游戏,Sucker Punch Productions/SCE,250,80,
英雄连：勇气传说,即时战略,Relic/THQ,273,56, 二战 战争 即时战略 军事 策略 单人 历史
GTAOL,动作游戏,Rockstar Games,182,147, 沙盒
仙剑奇侠传6,角色扮演,北京软星/畅游,192,135, 剑侠
死亡空间3,第三人称射击,Visceral Games/Electronic Arts,226,101, 科幻 未来战争
盐和避难所,动作游戏,Ska Studios,121,205, 横版卷轴 奇幻 Souls-like 单人 横向卷轴 恐怖 独立
幽浮2,策略游戏,Firaxis Games/2K Games,173,151, 外星人 科幻 永久死亡 角色扮演 氛围 单人 可模组化
星界边境,动作游戏,Chucklefish,201,121, 独立游戏 科幻 单人 开放世界 生存 沙盒 太空
直到黎明,冒险游戏,Supermassive Games/Sony,238,84, 恐怖 惊悚 多结局 互动电影 奇幻 单人剧情
艾迪芬奇的记忆,冒险游戏,Giant Sparrow/SCE,198,123, 解谜 悬疑惊悚 视觉小说 步行模拟 剧情丰富 探索 短片
模拟人生4：快乐洗衣日,模拟游戏,Maxis/The Sims Studio/EA Games,281,39, 休闲
隐龙传：影踪,动作游戏,美格方互动/完美世界,142,177, 国产 剑侠 解谜 奇幻 类银河战士恶魔城 角色扮演 冒险
细胞分裂6：黑名单,动作游戏,Ubisoft Toronto/Ubisoft,143,173, 射击 跑酷 剧情丰富 控制器 多人 合作 现代战争
坎巴拉太空计划,模拟游戏,Squad/Private Division,240,74, 沙盒
飙酷车神,竞速游戏,Ubisoft & Ivory Tower/Ubisoft,267,43, 驾驶 单人 竞速 氛围 合作 团队导向 动作
辐射3,角色扮演,Bethesda Game Studios/Bethesda Softworks,223,87, 科幻 赛博朋克 末世
古墓丽影8：地下世界,动作游戏,Crystal Dynamics/Square Enix,245,63, 第三人称视角 奇幻 劳拉·克劳馥 开放世界 女主人翁 3D视觉 动作冒险
使命召唤2,第一人称射击,Infinity Ward/Activision,193,114, 二战
死亡独轮车3D,动作游戏,HakJak Productions/tinyBuild,263,43, 恶搞 开放世界 物理 沙盒 动作 独立 搞笑
仙剑奇侠传,角色扮演,大宇资讯,122,183,
超级机器人大战X,策略游戏,Namco Bandai,189,116, 机器人 战棋 漫改
刀剑神域：失落之歌,动作角色扮演,NBGI,259,45, 奇幻
漫画英雄VS卡普空：无限,格斗游戏,CAPCOM,265,38, 超級英雄 日本动画 竞技 单人 2D 格斗 抢劫 开放世界
地铁：最后的曙光,第一人称射击,4A Games/Deep Silver,196,107, 末世 第一人称射击 剧情丰富 硬件杀手 单人 潜行 末日
围攻,策略游戏,Spiderling,204,99, 独立游戏
ABZU,冒险游戏,Giant Squid/505 Games,213,88, 独立游戏 探索 水底 第三人称视角 单人 动作 开放世界
讨鬼传2,动作游戏,Omega Force/Koei Tecmo,172,128, 日本动画 开放世界 奇幻 砍杀 狩猎 沙盒 自创角色
王国：新大陆,策略游戏,Noio/Raw Fury,251,47, 氛围 奇幻 画素风格 探索 冒险 生存 休闲
守墓人,模拟游戏,Lazy Bear Games/tinyBuild,248,49, 模拟 中世纪 沙盒 像素 独立游戏 剧情丰富 悬疑
史莱姆牧场,模拟游戏,Monomi Park,231,66, 沙盒 3D 开放世界 第一人称射击 冒险 动作 模拟
层层恐惧,冒险游戏,Bloober Team,240,57, 恐怖 独立游戏 步行模拟 生存恐怖 探索 氛围 冒险
人中北斗,动作游戏,SEGA,231,65, 科幻 末世 改编 3D
孤岛危机2,第一人称射击,Crytek Studios/EA,167,124, 硬件杀手 电子竞技 未来战争 第一人称射击 剧情丰富 3D视觉 单人
孤岛惊魂2,第一人称射击,育碧,211,79, 科幻 好评原声音乐 第一人称射击 单人 控制器 拟真 合作
腐烂国度,动作游戏,Undead Labs/Microsoft Game Studios,224,64, 生存 局域网联机 丧尸 角色扮演 独立 探索 单人
影子战术：将军之刃,策略游戏,Mimimi Productions/Daedalic Entertainment,138,149, 独立游戏 潜入暗杀 忍者 即时战术 单人 策略 即时战略
流星蝴蝶剑,动作游戏,昱泉国际,115,172, 局域网联机 剑侠 国产 改编
忍者龙剑传2,动作游戏,TECOM/Microsoft Game,186,100, 忍者
恐怖黎明,动作角色扮演,Crate Entertainment,142,141, 黑暗奇幻 丧尸 奇幻 动作角色扮演 黑暗 迷宫探索 多人
混乱特工,第三人称射击,Deep Silver Volition/Deep Silver,208,73, 多人 欢乐 第三人称视角 超級英雄 赛博朋克 单人 冒险
英雄传说6：空之轨迹FC,角色扮演,Falcom,72,208, 日式角色扮演 经典 奇幻 系列
暗黑地牢,角色扮演,Red Hook Studios,115,165, 恐怖 角色扮演 回合制 Kickstarter 二維 永久死亡 氛围
假面骑士：斗骑大战创生,动作角色扮演,BNEI,234,45, 改编
魔法门之英雄无敌3,策略游戏,DotEmu/Ubisoft Entertainment,202,77, 回合制 局域网联机 奇幻 策略 动作 合作 重制
红色警戒,即时战略,WestWood Studio,116,162, 局域网联机 科幻 低配置
帝国时代3,即时战略,Ensemble/Microsoft,187,90, 局域网联机 电子竞技 合作 策略 单人 动作 历史
南方公园：真理之杖,角色扮演,Obsidian Entertainment/Ubisoft,182,94, 动漫 改编 黑色幽默 开放世界 剧情丰富 丧尸 局域网联机
质量效应3,动作角色扮演,Bioware/Electronic Arts,160,116, 科幻 未来战争
王者荣耀主机版,动作游戏,腾讯游戏,205,69, 国产 奇幻
旋转轮胎：泥泞奔驰,模拟游戏,Saber Interactive/Focus Home Interactive,226,45, 模拟 竞速 独立游戏 物理 在线合作 合作 氛围
极限竞速6,竞速游戏,Turn 10/Microsoft,221,50, 赛车 竞速 3D
银魂乱舞,动作游戏,Bandai Namco,245,25, 动漫 改编
装机模拟器,模拟游戏,Claudiu Kiss/The Irregular Corporation,230,41, 模拟 休闲 拟真 教育 沙盒 Early Access 独立
半条命2,第一人称射击,Valve,169,100, 科幻
辐射：新维加斯,角色扮演,Obsidian Entertainment/Bethesda Softworks,175,94, 未来战争 射击 剧情丰富 开放世界 探索 第一人称射击 第三人称视角
德军总部：新秩序,第一人称射击,Machine Games/Bethesda,160,109, 第一人称射击 科幻 二战 好评原声音乐 剧情丰富 单人 氛围
最终幻想13,角色扮演,Square Enix,163,106, 奇幻
死亡空间2,第三人称射击,Visceral Games/Electronic Arts,189,79, 3D视觉 射击 冒险 第三人称视角 生存恐怖 太空 科幻
超凡双生,动作游戏,Quantic Dream/SCE,175,93, 科幻
风之旅人,冒险游戏,thatgamecompany/SCE,153,114, 独立游戏 解谜 3D 奇幻
暴雨,冒险游戏,Quantic Dream/SCE,119,145, 恐怖
X战警前传：金刚狼,动作游戏,Maxis/EA Games,208,53, 改编 漫画英雄 科幻
绝对征服,第三人称射击,Platinum Games/SEGA,151,109, 科幻 第三人称视角 3D 动作 子弹时间 经典 射击
Fate/EXTELLA LINK,动作游戏,Marvelous/Marvelous、XSEED,239,20, 动漫 改编 3D
全面战争传奇：不列颠的王座,策略游戏,Creative Assembly/SEGA,192,67, 策略 中世纪 单人 回合制策略 合作 大战略 历史
拳皇97,格斗游戏,SNK,138,121,
旅途,冒险游戏,thatgamecompany/SCE,182,76, 奇幻 独立游戏 解谜 3D
去月球,角色扮演,Freebird Games,100,159,
地狱边境,冒险游戏,PlayDead,138,117, 解谜 横向卷轴 超现实 二維 平台 极简主义 过场动画
暗黑破坏神2：毁灭之王,动作角色扮演,Blizzard,91,164, 奇幻 低配置
疯狂办公室,动作游戏,Hollow Robot,223,31, 3D 独立游戏
镜之边缘：催化剂,动作游戏,EA DICE/EA,138,116, 跑酷 科幻
古剑奇谭OL,角色扮演,上海烛龙/网元圣唐,107,146, 剑侠 改编
帝国：全面战争,策略游戏,CreativeAssembly/SEGA,211,42, 大型战场 策略 战术 即时战略 历史题材 剧情丰富 回合制
马里奥赛车8豪华版,竞速游戏,任天堂,84,169,
死神来了,模拟游戏,Next Studio,217,35, 国产 独立游戏 像素 解谜
无双全明星,动作游戏,ω-Force/Koei,166,86, 动作 3D 奇幻 日本动画 砍杀
剑侠情缘网络版叁：重制版,角色扮演,西山居,63,189, 国产 武侠 奇幻
帝国时代2：帝王世纪,即时战略,Ensemble Studios/Microsoft,157,93, 中世纪 局域网联机 电子竞技
最后的守护者,动作角色扮演,Team ICO/SCE,128,121, 奇幻 3D
灵魂能力6,格斗游戏,NBGI,195,53, 格斗 动作 经典 硬核 奇幻 多人
毛线小精灵,动作游戏,Coldwood Interactive/EA,191,57, 奇幻 横版卷轴
石油骚动,模拟游戏,Gamious,200,47, 西部风格 单人 策略 采矿 休闲 西部 经济
龙珠Z：电光火石3,格斗游戏,Spike/Namco Bandai,187,59, 改编
最终幻想12：黄道年代,角色扮演,Square Enix,115,131, 开放世界 剧情丰富 奇幻 日系角色扮演 日本动画 探索 单人
幻,冒险游戏,幻羽科技/塔人网络,67,178, 沙盒 冒险 生存 科幻 Early Access VR 角色扮演
火箭联盟,体育游戏,Psyonix/腾讯游戏,190,55, 3D 科幻
马里奥疯狂兔子：王国之战,策略游戏,Ubisoft Entertainment/Nintendo,166,77, 奇幻 3D
CLANNAD,恋爱养成,VisualArts/Key/Sekai Project,188,55, 爱情 日本动画 剧情 欢乐 氛围 视觉小说 恋爱模拟
战争雷霆,第三人称射击,Gaijin Entertainment/腾讯游戏,71,171, 二战 免费 军事 坦克 拟真 大型多人在线 多人
戎马丹心-汉匈决战,动作角色扮演,重庆尚史轩,133,105, 国产 动作 沙盒 历史 策略 角色扮演
火焰纹章无双,动作游戏,光荣/任天堂,168,70, 奇幻
战锤40K：战争黎明3,即时战略,SEGA,162,75, 科幻 未来战争 单人 即时战略 战锤40K 建筑建造 多人在线战术竞技
实况足球2016,体育游戏,Konami,199,37, 电子竞技 体育 足球
放逐之城,模拟游戏,Shining Rock Software LLC,163,73, 生存 开放世界 城市营造 建造 沙盒 Masterpiece 即时战略
鬼泣3,动作游戏,Capcom,111,124, 奇幻
这是我的战争：孩子们,策略游戏,11 bit,187,47, 2.5D 独立游戏 现代战争 生存
仙剑奇侠传2,角色扮演,大宇资讯,173,61, 回合制 国产 剑侠
怪物猎人物语,角色扮演,Capcom,172,62,
暗黑破坏神3,动作角色扮演,Blizzard,76,159, 奇幻
监狱建筑师,模拟游戏,Introversion Software,175,57, 单人 建筑建造 沙盒 管理 策略 资源管理 城市营造
无双大蛇Z,动作游戏,KOEI/Koei Tecmo,146,86, 奇幻
火影忍者疾风传：究极忍者风暴2,格斗游戏,CyberConnect2 Co. Ltd./BANDAI NAMCO Entertainment,175,54, 动漫 策略 动作 格斗 日本动画 改编 忍者
暗黑血统2：终极版,动作游戏,Gunfire Games/Nordic Games,116,113, 科幻 奇幻
枪火游侠,第一人称射击,Hi-Rez Studios/腾讯游戏,34,194, 奇幻 国产 大逃杀 科幻 3D
真三国无双：英杰传,角色扮演,ω-Force/Koei,177,51, 回合制
油管主播的生活,模拟游戏,U-Play Online,183,44, 独立游戏
辐射4：年度版,动作角色扮演,Bethesda,125,102, 末世 科幻 VR
